id,filesystem,candidate_index,function,failure_file,failure_line,failure_expression,exit_line,exit_expression,effect_summary,report_validity,bug_status,source_verdict,root_cause_family,rationale,related_finding,reviewed_on
BTRFS-011,btrfs,11,btrfs_make_block_group,linux-sources/linux-v6.14-fs/fs/btrfs/block-group.c,2862,"btrfs_load_block_group_zone_info(cache, true)",2865,return ERR_PTR(ret);,cache.free_space_ctl:SET@2842,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-012,btrfs,12,btrfs_make_block_group,linux-sources/linux-v6.14-fs/fs/btrfs/block-group.c,2868,exclude_super_stripes(cache),2873,return ERR_PTR(ret);,cache.free_space_ctl:SET@2842,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-013,btrfs,13,btrfs_make_block_group,linux-sources/linux-v6.14-fs/fs/btrfs/block-group.c,2876,"btrfs_add_new_free_space(cache, chunk_offset, chunk_offset + size, NULL)",2880,return ERR_PTR(ret);,cache.free_space_ctl:SET@2842;cache.bytes_super:INC@2868,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-014,btrfs,14,btrfs_make_block_group,linux-sources/linux-v6.14-fs/fs/btrfs/block-group.c,2891,"btrfs_add_block_group_cache(fs_info, cache)",2895,return ERR_PTR(ret);,cache.free_space_ctl:SET@2842;cache.bytes_super:INC@2868,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-015,btrfs,15,update_block_group_item,linux-sources/linux-v6.14-fs/fs/btrfs/block-group.c,3106,"btrfs_search_slot(trans, root, &key, path, 0, 1)",3136,return ret;,cache.commit_used:SET@3099,TRUE_RESIDUAL,NO_BUG,CONTAINED_NOT_BUG,TRANSACTION_OR_FATAL_CONTAINMENT,"The mutation can remain at this function return, but the caller cancels/aborts the dirty transaction or shuts down the filesystem, so the state cannot continue as ordinary live metadata.",,2026-07-24
BTRFS-016,btrfs,16,balance_level,linux-sources/linux-v6.14-fs/fs/btrfs/ctree.c,924,"btrfs_free_tree_block(trans, btrfs_root_id(root), mid, 0, 1)",1112,return ret;,root->state.bit:BTRFS_ROOT_DIRTY:SET@913,TRUE_RESIDUAL,NO_BUG,CONTAINED_NOT_BUG,TRANSACTION_OR_FATAL_CONTAINMENT,"The mutation can remain at this function return, but the caller cancels/aborts the dirty transaction or shuts down the filesystem, so the state cannot continue as ordinary live metadata.",,2026-07-24
BTRFS-017,btrfs,17,btrfs_defrag_file,linux-sources/linux-v6.14-fs/fs/btrfs/defrag.c,1435,"defrag_one_cluster(BTRFS_I(inode), ra, cur, cluster_end + 1 - cur, extent_thresh, newer_than, do_compress, &sectors_defragged, max_to_defrag, &last_scanned)",1481,return ret;,inode->i_mapping.writeback_index:SET@1406;BTRFS_I(inode).defrag_compress:SET@1434,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,INTENTIONAL_PROGRESS_OR_OUTPUT,"The value is an output, retry cursor, cache population, terminal error state, or completed progress that is intentionally retained across the later failure.",,2026-07-24
BTRFS-018,btrfs,18,btrfs_get_or_create_delayed_node,linux-sources/linux-v6.14-fs/fs/btrfs/delayed-inode.c,152,"xa_load(&root->delayed_nodes, ino)",139,return ERR_PTR(-ENOMEM);,btrfs_inode->root->delayed_nodes.xa_reserve:RESERVE@146;btrfs_inode.delayed_node:SET@133;node.root:SET@140;node.ino:SET@140;node.ins_root:SET@140;node.del_root:SET@140,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,PRIVATE_OR_CLEANED_STATE,"The reported effect belongs to an unpublished object, output/cursor, or temporary cache, or is removed by the reviewed error cleanup; no live metadata owner retains it.",,2026-07-24
BTRFS-019,btrfs,19,btrfs_insert_delayed_item,linux-sources/linux-v6.14-fs/fs/btrfs/delayed-inode.c,753,"btrfs_insert_empty_items(trans, root, path, &batch)",812,return ret;,item_list.list_membership:ADD@690;item_list.list_membership:ADD@716,TRUE_RESIDUAL,NO_BUG,CONTAINED_NOT_BUG,TRANSACTION_OR_FATAL_CONTAINMENT,"The mutation can remain at this function return, but the caller cancels/aborts the dirty transaction or shuts down the filesystem, so the state cannot continue as ordinary live metadata.",,2026-07-24
BTRFS-020,btrfs,20,btrfs_batch_delete_items,linux-sources/linux-v6.14-fs/fs/btrfs/delayed-inode.c,892,"btrfs_del_items(trans, root, path, path->slots[0], nitems)",894,return ret;,batch_list.list_membership:ADD@866;batch_list.list_membership:ADD@888,TRUE_RESIDUAL,NO_BUG,CONTAINED_NOT_BUG,TRANSACTION_OR_FATAL_CONTAINMENT,"The mutation can remain at this function return, but the caller cancels/aborts the dirty transaction or shuts down the filesystem, so the state cannot continue as ordinary live metadata.",,2026-07-24
BTRFS-021,btrfs,21,btrfs_insert_delayed_dir_index,linux-sources/linux-v6.14-fs/fs/btrfs/delayed-inode.c,1512,"__btrfs_add_delayed_item(delayed_node, delayed_item)",1555,return ret;,delayed_item.index:SET@1490;dir_item.location:SET@1493;dir_item.btrfs_set_stack_dir_transid:ADD@1494;dir->root->delayed_nodes.xa_reserve:RESERVE@1478;dir.delayed_node:SET@1478;delayed_item.delayed_node:SET@1482,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,PRIVATE_OR_CLEANED_STATE,"The reported effect belongs to an unpublished object, output/cursor, or temporary cache, or is removed by the reviewed error cleanup; no live metadata owner retains it.",,2026-07-24
BTRFS-022,btrfs,22,btrfs_delete_delayed_dir_index,linux-sources/linux-v6.14-fs/fs/btrfs/delayed-inode.c,1628,"btrfs_delayed_item_reserve_metadata(trans, item)",1653,return ret;,item.delayed_node:SET@1620,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,PRIVATE_OR_CLEANED_STATE,"The reported effect belongs to an unpublished object, output/cursor, or temporary cache, or is removed by the reviewed error cleanup; no live metadata owner retains it.",,2026-07-24
BTRFS-023,btrfs,23,btrfs_delete_delayed_dir_index,linux-sources/linux-v6.14-fs/fs/btrfs/delayed-inode.c,1641,"__btrfs_add_delayed_item(node, item)",1653,return ret;,trans.btrfs_delayed_item_reserve_metadata:RESERVE@1628;item.delayed_node:SET@1620,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,PRIVATE_OR_CLEANED_STATE,"The reported effect belongs to an unpublished object, output/cursor, or temporary cache, or is removed by the reviewed error cleanup; no live metadata owner retains it.",,2026-07-24
BTRFS-024,btrfs,24,btrfs_delayed_update_inode,linux-sources/linux-v6.14-fs/fs/btrfs/delayed-inode.c,1936,"btrfs_delayed_inode_reserve_metadata(trans, root, delayed_node)",1947,return ret;,inode->root->delayed_nodes.xa_reserve:RESERVE@1925;inode.delayed_node:SET@1925,TRUE_RESIDUAL,NO_BUG,CONTAINED_NOT_BUG,TRANSACTION_OR_FATAL_CONTAINMENT,"The mutation can remain at this function return, but the caller cancels/aborts the dirty transaction or shuts down the filesystem, so the state cannot continue as ordinary live metadata.",,2026-07-24
BTRFS-025,btrfs,25,btrfs_add_delayed_extent_op,linux-sources/linux-v6.14-fs/fs/btrfs/delayed-ref.c,1137,"xa_reserve(&delayed_refs->head_refs, index, GFP_NOFS)",1140,return ret;,head_ref.bytenr:SET@1132;head_ref.num_bytes:SET@1132;head_ref.ref_mod:SET@1132;head_ref.reserved_bytes:SET@1132;head_ref.must_insert_reserved:SET@1132;head_ref.owning_root:SET@1132;head_ref.is_data:SET@1132;head_ref.is_system:SET@1132;head_ref.ref_tree:SET@1132;head_ref.total_ref_mod:SET@1132;head_ref.level:SET@1132;NULL.data_rsv:SET@1132;NULL.data_rsv_refroot:SET@1132;NULL.num_bytes:SET@1132,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,PRIVATE_OR_CLEANED_STATE,"The reported effect belongs to an unpublished object, output/cursor, or temporary cache, or is removed by the reviewed error cleanup; no live metadata owner retains it.",,2026-07-24
BTRFS-026,btrfs,26,btrfs_init_dev_replace_tgtdev,linux-sources/linux-v6.14-fs/fs/btrfs/dev-replace.c,322,"btrfs_get_dev_zone_info(device, false)",337,return ret;,device->dev_state.bit:BTRFS_DEV_STATE_WRITEABLE:SET@303;device.io_width:SET@305;device.io_align:SET@306;device.sector_size:SET@307;device.total_bytes:SET@308;device.disk_total_bytes:SET@309;device.bytes_used:SET@310;device.commit_total_bytes:SET@311;device.commit_bytes_used:SET@312;device.fs_info:SET@313;device.bdev:SET@314;device.bdev_file:SET@315;device->dev_state.bit:BTRFS_DEV_STATE_IN_FS_METADATA:SET@316;device->dev_state.bit:BTRFS_DEV_STATE_REPLACE_TGT:SET@317;device.dev_stats_valid:SET@318;device.fs_devices:SET@320,FALSE_POSITIVE,CONFIRMED_DIFFERENT_DEFECT,DIFFERENT_DEFECT,UNPUBLISHED_OBJECT_RESOURCE_LEAK,"The reported device field values die with an unpublished object and are not metadata residuals, but btrfs_init_dev_replace_tgtdev() omits btrfs_free_device() after zone-info failure and leaks the allocated device.",pending P2,2026-07-24
BTRFS-027,btrfs,27,btrfs_dev_replace_start,linux-sources/linux-v6.14-fs/fs/btrfs/dev-replace.c,636,"mark_block_group_to_copy(fs_info, src_device)",638,return ret;,trans.btrfs_commit_transaction:ADD@624;tgt_device->dev_state.bit:BTRFS_DEV_STATE_WRITEABLE:SET@631;tgt_device.io_width:SET@631;tgt_device.io_align:SET@631;tgt_device.sector_size:SET@631;tgt_device.total_bytes:SET@631;tgt_device.disk_total_bytes:SET@631;tgt_device.bytes_used:SET@631;tgt_device.commit_total_bytes:SET@631;tgt_device.commit_bytes_used:SET@631;tgt_device.fs_info:SET@631;tgt_device.bdev:SET@631;tgt_device.bdev_file:SET@631;tgt_device->dev_state.bit:BTRFS_DEV_STATE_IN_FS_METADATA:SET@631;tgt_device->dev_state.bit:BTRFS_DEV_STATE_REPLACE_TGT:SET@631;tgt_device.dev_stats_valid:SET@631;tgt_device.fs_devices:SET@631;fs_info->fs_devices->devices.list_membership:ADD@631;fs_info->fs_devices.num_devices:INC@631;fs_info->fs_devices.open_devices:INC@631,TRUE_RESIDUAL,LIKELY,TRUE_ISSUE,PUBLISHED_DEVICE_NOT_ROLLED_BACK,The target is linked and num_devices/open_devices are incremented before mark_block_group_to_copy(); its direct error return bypasses target destruction and leaves replacement unstarted with a live linked device.,pending P3,2026-07-24
BTRFS-028,btrfs,28,btrfs_dev_replace_finishing,linux-sources/linux-v6.14-fs/fs/btrfs/dev-replace.c,947,"btrfs_set_target_alloc_state(src_device, tgt_device)",970,return scrub_ret;,trans.btrfs_commit_transaction:ADD@917;fs_info->dev_replace.replace_state:SET@934;fs_info->dev_replace.time_stopped:SET@939;fs_info->dev_replace.item_needs_writeback:SET@940,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,INTENTIONAL_PROGRESS_OR_OUTPUT,"The value is an output, retry cursor, cache population, terminal error state, or completed progress that is intentionally retained across the later failure.",,2026-07-24
BTRFS-029,btrfs,29,btrfs_dev_replace_cancel,linux-sources/linux-v6.14-fs/fs/btrfs/dev-replace.c,1147,"btrfs_start_transaction(root, 0)",1150,return PTR_ERR(trans);,fs_info->dev_replace.replace_state:SET@1137;fs_info->dev_replace.time_stopped:SET@1139;fs_info->dev_replace.item_needs_writeback:SET@1140,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,INTENTIONAL_PROGRESS_OR_OUTPUT,"The value is an output, retry cursor, cache population, terminal error state, or completed progress that is intentionally retained across the later failure.",,2026-07-24
BTRFS-030,btrfs,30,btrfs_init_log_root_tree,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,973,"btrfs_alloc_log_tree_node(trans, log_root)",977,return ret;,log_root->root_key.objectid:SET@968;log_root->root_key.type:SET@968;log_root->root_key.offset:SET@968,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-031,btrfs,31,btrfs_add_log_tree,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,998,"btrfs_alloc_log_tree_node(trans, log_root)",1001,return ret;,log_root->root_key.objectid:SET@994;log_root->root_key.type:SET@994;log_root->root_key.offset:SET@994,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,PRIVATE_OR_CLEANED_STATE,"The reported effect belongs to an unpublished object, output/cursor, or temporary cache, or is removed by the reviewed error cleanup; no live metadata owner retains it.",,2026-07-24
BTRFS-032,btrfs,32,btrfs_init_fs_root,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,1128,get_anon_bdev(&root->anon_dev),1150,return ret;,root->state.bit:BTRFS_ROOT_SHAREABLE:SET@1117,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-033,btrfs,33,btrfs_init_fs_root,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,1137,btrfs_init_root_free_objectid(root),1150,return ret;,root->state.bit:BTRFS_ROOT_SHAREABLE:SET@1117;root.anon_dev:SET@1132,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-034,btrfs,34,btrfs_get_root_ref,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,1378,"btrfs_search_slot(NULL, fs_info->tree_root, &key, path, 0, 0)",1404,return ERR_PTR(ret);,root->state.bit:BTRFS_ROOT_SHAREABLE:SET@1365;root.anon_dev ? *anon_dev : 0:SET@1365,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-035,btrfs,35,btrfs_get_root_ref,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,1385,"btrfs_insert_fs_root(fs_info, root)",1348,return ERR_PTR(-ENOENT);,root->state.bit:BTRFS_ROOT_ORPHAN_ITEM_INSERTED:SET@1383;root->state.bit:BTRFS_ROOT_SHAREABLE:SET@1365;root.anon_dev ? *anon_dev : 0:SET@1365,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-036,btrfs,36,load_global_roots_objectid,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,2176,btrfs_global_root_insert(root),2198,return ret;,root->state.bit:BTRFS_ROOT_TRACK_DIRTY:SET@2175,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-037,btrfs,37,load_global_roots,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,2214,"load_global_roots_objectid(tree_root, path, BTRFS_CSUM_TREE_OBJECTID, ""csum"")",2225,return ret;,tree_root->fs_info->fs_state.bit:BTRFS_FS_STATE_NO_DATA_CSUMS:SET@2210;tree_root->fs_info.nr_global_roots:SET@2210,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-038,btrfs,38,btrfs_read_roots,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,2270,btrfs_init_devices_late(fs_info),2328,return ret;,root->state.bit:BTRFS_ROOT_TRACK_DIRTY:SET@2253;fs_info.block_group_root:SET@2254;root->state.bit:BTRFS_ROOT_TRACK_DIRTY:SET@2266;fs_info.dev_root:SET@2267,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-039,btrfs,39,init_tree_roots,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,2744,btrfs_read_roots(fs_info),2723,return ret;,tree_root.free_objectid:SET@2736,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-040,btrfs,40,init_mount_fs_info,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,2934,"percpu_counter_init(&fs_info->delalloc_bytes, 0, GFP_KERNEL)",2936,return ret;,fs_info.dirty_metadata_batch:SET@2931,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-041,btrfs,41,init_mount_fs_info,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,2938,"percpu_counter_init(&fs_info->dev_replace.bio_counter, 0, GFP_KERNEL)",2941,return ret;,fs_info.dirty_metadata_batch:SET@2931,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-042,btrfs,42,open_ctree,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,3305,btrfs_init_btree_inode(sb),3684,return ret;,fs_info.tree_root:SET@3296;fs_info.chunk_root:SET@3299;fs_info.dirty_metadata_batch:SET@3289;fs_info.delayed_root:SET@3289;fs_info->fs_state.bit:BTRFS_FS_STATE_RO:SET@3289;fs_info->fs_state.bit:BTRFS_FS_STATE_SKIP_META_CSUMS:SET@3289,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-043,btrfs,43,open_ctree,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,3336,"btrfs_init_csum_hash(fs_info, csum_type)",3684,return ret;,fs_info.tree_root:SET@3296;fs_info.chunk_root:SET@3299;fs_info.dirty_metadata_batch:SET@3289;fs_info.delayed_root:SET@3289;fs_info->fs_state.bit:BTRFS_FS_STATE_RO:SET@3289;fs_info->fs_state.bit:BTRFS_FS_STATE_SKIP_META_CSUMS:SET@3289;sb->btree_inode.i_size:SET@3305;BTRFS_I(sb->btree_inode).root:SET@3305;BTRFS_I(sb->btree_inode)->runtime_flags.bit:BTRFS_INODE_DUMMY:SET@3305;sb.btree_inode:SET@3305,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-044,btrfs,44,open_ctree,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,3366,btrfs_validate_mount_super(fs_info),3684,return ret;,fs_info.tree_root:SET@3296;fs_info.chunk_root:SET@3299;fs_info.dirty_metadata_batch:SET@3289;fs_info.delayed_root:SET@3289;fs_info->fs_state.bit:BTRFS_FS_STATE_RO:SET@3289;fs_info->fs_state.bit:BTRFS_FS_STATE_SKIP_META_CSUMS:SET@3289;sb->btree_inode.i_size:SET@3305;BTRFS_I(sb->btree_inode).root:SET@3305;BTRFS_I(sb->btree_inode)->runtime_flags.bit:BTRFS_INODE_DUMMY:SET@3305;sb.btree_inode:SET@3305;fs_info->flags.bit:BTRFS_FS_CSUM_IMPL_FAST:SET@3336,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-045,btrfs,45,open_ctree,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,3409,"btrfs_check_features(fs_info, !sb_rdonly(sb))",3684,return ret;,fs_info.tree_root:SET@3296;fs_info.chunk_root:SET@3299;fs_info.dirty_metadata_batch:SET@3387;fs_info->fs_devices.fs_info:SET@3396;fs_info.dirty_metadata_batch:SET@3289;fs_info.delayed_root:SET@3289;fs_info->fs_state.bit:BTRFS_FS_STATE_RO:SET@3289;fs_info->fs_state.bit:BTRFS_FS_STATE_SKIP_META_CSUMS:SET@3289;sb->btree_inode.i_size:SET@3305;BTRFS_I(sb->btree_inode).root:SET@3305;BTRFS_I(sb->btree_inode)->runtime_flags.bit:BTRFS_INODE_DUMMY:SET@3305;sb.btree_inode:SET@3305;fs_info->flags.bit:BTRFS_FS_CSUM_IMPL_FAST:SET@3336,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-046,btrfs,46,open_ctree,linux-sources/linux-v6.14-fs/fs/btrfs/disk-io.c,3424,btrfs_init_workqueues(fs_info),3684,return ret;,fs_info.tree_root:SET@3296;fs_info.chunk_root:SET@3299;fs_info.dirty_metadata_batch:SET@3387;fs_info->fs_devices.fs_info:SET@3396;fs_info.dirty_metadata_batch:SET@3289;fs_info.delayed_root:SET@3289;fs_info->fs_state.bit:BTRFS_FS_STATE_RO:SET@3289;fs_info->fs_state.bit:BTRFS_FS_STATE_SKIP_META_CSUMS:SET@3289;sb->btree_inode.i_size:SET@3305;BTRFS_I(sb->btree_inode).root:SET@3305;BTRFS_I(sb->btree_inode)->runtime_flags.bit:BTRFS_INODE_DUMMY:SET@3305;sb.btree_inode:SET@3305;fs_info->flags.bit:BTRFS_FS_CSUM_IMPL_FAST:SET@3336;fs_info.delayed_workers:SET@3424;fs_info.qgroup_rescan_workers:SET@3424,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
